ccn,lat,lon,health_system,health_system_id,system_confidence
020024,60.360075,-151.017857,Independent / Unknown,independent,0.0
020026,61.2014,-149.817502,Independent / Unknown,independent,0.0
02013F,61.271958,-149.807145,Independent / Unknown,independent,0.0
02014F,64.834706,-147.622949,Independent / Unknown,independent,0.0
021301,61.04595,-146.183262,Providence,providence,0.85
021302,60.133829,-149.500604,Providence,providence,0.85
021304,56.84041,-133.187085,Independent / Unknown,independent,0.0
021305,56.221499,-131.923588,Independent / Unknown,independent,0.0
021306,57.682776,-153.37896,Providence,providence,0.85
021307,61.117385,-147.606969,Independent / Unknown,independent,0.0
021308,64.739808,-164.654295,Independent / Unknown,independent,0.0
021309,59.361044,-158.822923,Independent / Unknown,independent,0.0
021310,67.28686,-161.184862,Independent / Unknown,independent,0.0
021311,55.662896,-131.366292,Independent / Unknown,independent,0.0
021312,71.264377,-156.753678,Independent / Unknown,independent,0.0
021313,59.538519,-151.186927,Independent / Unknown,independent,0.0
021314,56.960283,-135.037328,Independent / Unknown,independent,0.0
024001,61.2014,-149.817502,Independent / Unknown,independent,0.0
024002,61.2014,-149.817502,Independent / Unknown,independent,0.0
030002,33.465234,-112.048771,Banner Health,banner_health,0.85
030006,32.252876,-110.886584,Independent / Unknown,independent,0.0
030007,34.698565,-112.013827,Independent / Unknown,independent,0.0
030010,32.248976,-111.061335,Independent / Unknown,independent,0.0
030011,32.215025,-110.883461,Independent / Unknown,independent,0.0
030012,34.598081,-112.420156,Independent / Unknown,independent,0.0
030013,32.704556,-114.656304,Independent / Unknown,independent,0.0
030014,33.566061,-112.055642,Independent / Unknown,independent,0.0
030016,32.916724,-111.747972,Banner Health,banner_health,0.85
030022,33.463884,-111.987763,Independent / Unknown,independent,0.0
030023,35.357736,-111.771155,Independent / Unknown,independent,0.0
030024,33.511112,-112.084731,Independent / Unknown,independent,0.0
030030,33.508637,-112.102056,Independent / Unknown,independent,0.0
030036,33.323511,-111.876159,Independent / Unknown,independent,0.0
030037,33.465234,-112.048771,Independent / Unknown,independent,0.0
030038,33.494489,-111.920714,Independent / Unknown,independent,0.0
030043,31.553108,-110.171088,Independent / Unknown,independent,0.0
030055,35.113668,-113.738093,Independent / Unknown,independent,0.0
030061,33.605791,-112.28406,Banner Health,banner_health,0.85
030062,34.314806,-110.024014,Independent / Unknown,independent,0.0
030064,32.246222,-110.948769,Banner Health,banner_health,0.85
030065,33.379757,-111.875018,Banner Health,banner_health,0.85
030069,34.476908,-114.344135,Independent / Unknown,independent,0.0
030071,35.860391,-109.139361,Independent / Unknown,independent,0.0
030073,36.141855,-111.123974,Independent / Unknown,independent,0.0
030074,32.01236,-112.021352,Independent / Unknown,independent,0.0
030078,33.510166,-112.031684,Independent / Unknown,independent,0.0
030083,33.62592,-112.002503,Independent / Unknown,independent,0.0
030084,36.216887,-109.682415,Independent / Unknown,independent,0.0
030085,32.335292,-111.041758,Independent / Unknown,independent,0.0
030087,33.608066,-111.889177,Independent / Unknown,independent,0.0
030088,33.397432,-111.7165,Banner Health,banner_health,0.85
030089,33.623562,-112.175283,Banner Health,banner_health,0.85
030092,33.677473,-112.10228,Independent / Unknown,independent,0.0
030093,33.671383,-112.357187,Banner Health,banner_health,0.85
030094,33.660382,-112.184964,Independent / Unknown,independent,0.0
030101,35.089613,-114.560868,Independent / Unknown,independent,0.0
030103,33.681025,-111.944882,Mayo Clinic,mayo_clinic,0.85
030105,33.397432,-111.7165,Banner Health,banner_health,0.85
030107,33.397432,-111.7165,Independent / Unknown,independent,0.0
030108,33.508637,-112.102056,Independent / Unknown,independent,0.0
030110,33.485001,-112.405856,Independent / Unknown,independent,0.0
030111,32.19457,-111.014995,Banner Health,banner_health,0.85
030112,33.463884,-111.987763,Independent / Unknown,independent,0.0
030113,33.891524,-110.063212,Independent / Unknown,independent,0.0
030114,32.468351,-110.981507,Independent / Unknown,independent,0.0
030115,33.486707,-112.268258,Banner Health,banner_health,0.85
030117,35.013382,-114.549707,Independent / Unknown,independent,0.0
030119,33.280561,-111.7333,Independent / Unknown,independent,0.0
030121,33.378291,-111.634444,Independent / Unknown,independent,0.0
030122,33.365502,-111.73966,Banner Health,banner_health,0.85
030123,33.668188,-111.822512,Independent / Unknown,independent,0.0
03012F,33.507577,-112.070981,VA,va,0.85
030130,33.248065,-111.489238,Banner Health,banner_health,0.85
030134,33.386881,-111.561667,Banner Health,banner_health,0.85
030136,33.240894,-112.142689,CommonSpirit,commonspirit,0.85
030138,33.372975,-112.410829,City of Hope,city_of_hope,0.85
030139,33.320607,-111.630757,CommonSpirit,commonspirit,0.85
03013F,32.181859,-110.96499,Independent / Unknown,independent,0.0
030146,33.752614,-112.090157,Independent / Unknown,independent,0.0
030147,33.272273,-111.833863,Banner Health,banner_health,0.85
030148,31.959623,-111.109271,Independent / Unknown,independent,0.0
030152,32.923874,-112.206708,Independent / Unknown,independent,0.0
030153,33.305282,-111.736462,Independent / Unknown,independent,0.0
030154,33.017596,-114.110521,Independent / Unknown,independent,0.0
030155,35.089613,-114.560868,Independent / Unknown,independent,0.0
030195,36.677302,-110.256301,Independent / Unknown,independent,0.0
03033F,34.554222,-112.452883,Independent / Unknown,independent,0.0
031300,33.903622,-112.875667,Independent / Unknown,independent,0.0
031301,32.167495,-110.411875,Independent / Unknown,independent,0.0
031302,32.460684,-110.000342,Independent / Unknown,independent,0.0
031304,36.659592,-111.385712,Independent / Unknown,independent,0.0
031305,35.861758,-110.384151,Independent / Unknown,independent,0.0
031307,33.911407,-114.257178,Independent / Unknown,independent,0.0
031308,33.097774,-111.724833,Independent / Unknown,independent,0.0
031309,35.623754,-109.706962,Independent / Unknown,independent,0.0
031311,35.180686,-110.620994,Independent / Unknown,independent,0.0
031312,31.432669,-109.919056,Independent / Unknown,independent,0.0
031313,31.387974,-110.899729,Independent / Unknown,independent,0.0
031314,33.559004,-110.769126,Independent / Unknown,independent,0.0
031315,34.163398,-109.414295,Independent / Unknown,independent,0.0
031317,33.911407,-114.257178,Independent / Unknown,independent,0.0
031318,34.223305,-111.347339,Banner Health,banner_health,0.85
031319,32.699939,-109.588569,Independent / Unknown,independent,0.0
031320,33.324677,-110.310846,Independent / Unknown,independent,0.0
033302,33.510166,-112.031684,Independent / Unknown,independent,0.0
034004,33.494489,-111.920714,Banner Health,banner_health,0.85
034013,33.465234,-112.048771,Independent / Unknown,independent,0.0
034020,33.446529,-112.090319,Independent / Unknown,independent,0.0
034021,33.463884,-111.987763,Independent / Unknown,independent,0.0
034022,32.33942,-110.984997,Independent / Unknown,independent,0.0
034023,35.380939,-111.373463,Independent / Unknown,independent,0.0
034024,33.56809,-112.178089,Independent / Unknown,independent,0.0
034025,34.598081,-112.420156,Independent / Unknown,independent,0.0
034026,33.519784,-111.993594,Independent / Unknown,independent,0.0
034027,34.171165,-109.965072,Independent / Unknown,independent,0.0
034028,33.364638,-111.931604,Independent / Unknown,independent,0.0
034029,33.317828,-111.830541,Independent / Unknown,independent,0.0
034030,32.252876,-110.886584,Independent / Unknown,independent,0.0
034031,33.677473,-112.10228,Independent / Unknown,independent,0.0
034032,33.47657,-112.309428,Independent / Unknown,independent,0.0
034033,32.252876,-110.886584,Independent / Unknown,independent,0.0
034034,33.644551,-112.319905,Independent / Unknown,independent,0.0
034035,33.644893,-112.395034,Independent / Unknown,independent,0.0
034038,33.465234,-112.048771,Independent / Unknown,independent,0.0
034040,33.557918,-111.892948,Independent / Unknown,independent,0.0
034041,33.320607,-111.630757,Independent / Unknown,independent,0.0
040001,36.165256,-94.456061,Independent / Unknown,independent,0.0
040002,35.517899,-93.510271,Independent / Unknown,independent,0.0
040004,36.118051,-94.043538,Independent / Unknown,independent,0.0
040007,34.749493,-92.35144,CommonSpirit,commonspirit,0.85
040010,36.299426,-94.140989,Independent / Unknown,independent,0.0
040011,35.01485,-93.50123,Independent / Unknown,independent,0.0
040014,35.226714,-91.736844,Independent / Unknown,independent,0.0
040016,34.749493,-92.35144,Independent / Unknown,independent,0.0
040017,36.238037,-93.085962,Independent / Unknown,independent,0.0
040018,35.468947,-94.348179,Baptist Health,baptist_health,0.85
040019,34.99439,-90.746054,Independent / Unknown,independent,0.0
040020,35.830646,-90.578121,Independent / Unknown,independent,0.0
040022,36.175681,-94.060222,Independent / Unknown,independent,0.0
040026,34.37061351351351,-93.55612554054055,CommonSpirit,commonspirit,0.85
040027,36.342381,-92.38543,Independent / Unknown,independent,0.0
040029,35.053787,-92.47871,Independent / Unknown,independent,0.0
040036,34.780634,-92.140428,Baptist Health,baptist_health,0.85
040039,36.079547,-90.51644,Independent / Unknown,independent,0.0
040041,35.28058,-93.141594,Independent / Unknown,independent,0.0
040050,33.579188,-92.817453,Independent / Unknown,independent,0.0
040051,33.628015,-91.73055,Baptist Health,baptist_health,0.85
040055,35.365188,-94.414866,Baptist Health,baptist_health,0.85
040062,35.354958,-94.360725,Independent / Unknown,independent,0.0
040067,33.225678,-93.184674,Independent / Unknown,independent,0.0
040069,35.899435,-89.899259,Independent / Unknown,independent,0.0
040071,34.121075,-92.088127,Independent / Unknown,independent,0.0
040072,34.442806,-91.529738,Baptist Health,baptist_health,0.85
040076,34.346385,-92.815479,Baptist Health,baptist_health,0.85
040078,34.52645,-92.97407,Independent / Unknown,independent,0.0
040084,34.485985,-92.585077,Independent / Unknown,independent,0.0
040088,33.201125,-92.633528,Independent / Unknown,independent,0.0
04009F,36.118051,-94.043538,VA,va,0.85
04010F,34.749493,-92.35144,Independent / Unknown,independent,0.0
040114,34.749493,-92.35144,Baptist Health,baptist_health,0.85
040118,35.90269,-90.650204,Independent / Unknown,independent,0.0
040119,36.01170496363636,-91.79647132727273,Independent / Unknown,independent,0.0
040132,34.52645,-92.97407,Independent / Unknown,independent,0.0
040134,34.746283,-92.417157,Independent / Unknown,independent,0.0
040137,34.902228,-92.240817,Independent / Unknown,independent,0.0
040147,34.840468,-92.326035,Independent / Unknown,independent,0.0
040153,33.623006,-93.611656,Independent / Unknown,independent,0.0
040154,35.065558,-92.362771,Baptist Health,baptist_health,0.85
040156,35.13432,-90.179292,Independent / Unknown,independent,0.0
040161,34.633802,-92.699001,Independent / Unknown,independent,0.0
040164,34.912086,-92.137672,Independent / Unknown,independent,0.0
040779,36.321334,-91.048884,Independent / Unknown,independent,0.0
040780,36.373296,-93.743854,Independent / Unknown,independent,0.0
040781,34.447871,-90.674778,Independent / Unknown,independent,0.0
040782,35.672875,-90.05801,Independent / Unknown,independent,0.0
040783,34.274591,-91.323299,Independent / Unknown,independent,0.0
041300,35.245001,-93.667573,Independent / Unknown,independent,0.0
041302,35.170653,-93.201502,Independent / Unknown,independent,0.0
041303,35.562791,-93.807178,Independent / Unknown,independent,0.0
041305,34.9057,-94.150994,Independent / Unknown,independent,0.0
041306,36.134099,-92.180331,Independent / Unknown,independent,0.0
041307,35.229655,-90.831944,Independent / Unknown,independent,0.0
041308,33.621105,-91.37108,Independent / Unknown,independent,0.0
041309,36.04611,-90.916792,Independent / Unknown,independent,0.0
041310,35.840811,-92.079416,Independent / Unknown,independent,0.0
041311,33.985571,-93.85297,Independent / Unknown,independent,0.0
041312,35.459891,-91.99849,Baptist Health,baptist_health,0.85
041313,35.603748,-92.520925,Independent / Unknown,independent,0.0
041317,33.827537,-92.45334,Independent / Unknown,independent,0.0
041318,35.080085,-93.939782,Independent / Unknown,independent,0.0
041320,33.670153,-94.147931,Independent / Unknown,independent,0.0
041321,34.088935,-93.055583,Baptist Health,baptist_health,0.85
041322,36.348507,-91.856063,Independent / Unknown,independent,0.0
041323,33.13246,-92.004317,Independent / Unknown,independent,0.0
041324,35.154561,-92.772448,CommonSpirit,commonspirit,0.85
041326,33.886641,-91.536646,Independent / Unknown,independent,0.0
041327,33.602006,-92.096018,Independent / Unknown,independent,0.0
041328,33.371542,-91.284111,Independent / Unknown,independent,0.0
041329,36.348327,-93.550846,Independent / Unknown,independent,0.0
041330,36.406778,-90.202659,Independent / Unknown,independent,0.0
041331,36.413792,-94.465005,Independent / Unknown,independent,0.0
041332,35.580917,-91.229715,Independent / Unknown,independent,0.0
041333,34.041462,-94.357126,Independent / Unknown,independent,0.0
041334,34.616046,-94.210584,Independent / Unknown,independent,0.0
041335,33.623006,-93.611656,Independent / Unknown,independent,0.0
043300,34.73813,-92.247251,Independent / Unknown,independent,0.0
043301,36.18126,-94.225296,Independent / Unknown,independent,0.0
044004,36.118051,-94.043538,Independent / Unknown,independent,0.0
044005,34.859573,-92.397599,Independent / Unknown,independent,0.0
044006,35.308712,-94.289369,Independent / Unknown,independent,0.0
044007,34.633802,-92.699001,Independent / Unknown,independent,0.0
044011,34.749493,-92.35144,Independent / Unknown,independent,0.0
044017,34.859573,-92.397599,Independent / Unknown,independent,0.0
044019,36.105647,-94.2965,Independent / Unknown,independent,0.0
044020,33.444906,-93.894766,Independent / Unknown,independent,0.0
044021,35.13432,-90.179292,Independent / Unknown,independent,0.0
044022,35.053787,-92.47871,Independent / Unknown,independent,0.0
050002,37.629761,-122.124238,Independent / Unknown,independent,0.0
050006,40.80201,-124.144824,Providence,providence,0.85
050007,37.571918,-122.375028,Independent / Unknown,independent,0.0
050008,37.770051,-122.44428,Independent / Unknown,independent,0.0
050009,38.389135,-122.188412,Providence,providence,0.85
050013,38.542448,-122.419923,Adventist Health,adventist_health,0.85
050014,38.343506,-120.763948,Sutter Health,sutter_health,0.85
050017,38.566862,-121.437563,Independent / Unknown,independent,0.0
050022,33.996523,-117.374179,Independent / Unknown,independent,0.0
050024,32.669067,-117.093487,Independent / Unknown,independent,0.0
050025,32.747816,-117.167332,Independent / Unknown,independent,0.0
050026,32.777267,-117.021344,Independent / Unknown,independent,0.0
050028,40.843356,-124.045334,Independent / Unknown,independent,0.0
050030,39.475369,-121.414133,Independent / Unknown,independent,0.0
050036,35.384336,-119.020562,Independent / Unknown,independent,0.0
050038,37.315884,-121.936431,Independent / Unknown,independent,0.0
050039,39.74577,-121.843938,Independent / Unknown,independent,0.0
050040,34.326584,-118.382261,UCLA Health,ucla_health,0.85
050042,40.16538,-122.441718,Independent / Unknown,independent,0.0
050043,37.834816,-122.264195,Independent / Unknown,independent,0.0
050045,32.770197,-115.59859,Independent / Unknown,independent,0.0
050047,37.794485,-122.42227,Independent / Unknown,independent,0.0
050054,33.939919,-116.839331,Independent / Unknown,independent,0.0
050055,37.750021,-122.415201,Independent / Unknown,independent,0.0
050056,34.71766,-118.15232,Independent / Unknown,independent,0.0
050057,36.391777,-119.372842,Independent / Unknown,independent,0.0
050058,34.135557,-118.26094,Independent / Unknown,independent,0.0
050060,36.732808,-119.783829,Independent / Unknown,independent,0.0
050063,34.127603,-118.296381,Independent / Unknown,independent,0.0
050067,37.79219,-120.785662,Independent / Unknown,independent,0.0
050069,33.787967,-117.876343,Providence,providence,0.85
050070,37.655175,-122.418384,Kaiser Permanente,kaiser_permanente,0.85
050071,37.348311,-121.984435,Kaiser Permanente,kaiser_permanente,0.85
050072,37.889009,-122.036778,Kaiser Permanente,kaiser_permanente,0.85
050073,38.141467,-122.24687,Kaiser Permanente,kaiser_permanente,0.85
050075,37.831917,-122.215793,Kaiser Permanente,kaiser_permanente,0.85
050076,37.786029,-122.437366,Kaiser Permanente,kaiser_permanente,0.85
050077,32.747816,-117.167332,Independent / Unknown,independent,0.0
050078,33.737321,-118.313433,Providence,providence,0.85
050082,34.205097,-119.17532,Independent / Unknown,independent,0.0
050084,37.973736,-121.319246,Independent / Unknown,independent,0.0
050089,34.122809,-117.325808,Independent / Unknown,independent,0.0
050090,38.255842,-122.460908,Independent / Unknown,independent,0.0
050091,33.979248,-118.217438,Independent / Unknown,independent,0.0
050093,36.862209,-119.760793,Independent / Unknown,independent,0.0
050099,34.10525,-117.66207,Independent / Unknown,independent,0.0
050100,32.809615,-117.134201,Independent / Unknown,independent,0.0
050101,38.141467,-122.24687,Sutter Health,sutter_health,0.85
050102,33.882884,-117.451725,Independent / Unknown,independent,0.0
050103,34.05038,-118.211991,Adventist Health,adventist_health,0.85
050104,33.923831,-118.201352,Independent / Unknown,independent,0.0
050107,34.923013,-120.259463,Independent / Unknown,independent,0.0
050108,38.575407,-121.464803,Sutter Health,sutter_health,0.85
050110,34.599926,-120.376532,Independent / Unknown,independent,0.0
050112,34.026649,-118.473835,UCLA Health,ucla_health,0.85
050113,37.538449,-122.305447,Independent / Unknown,independent,0.0
050115,33.077814,-117.033131,Independent / Unknown,independent,0.0
050116,34.237519,-118.517712,Independent / Unknown,independent,0.0
050118,37.830267,-121.20102,Independent / Unknown,independent,0.0
050121,36.29223,-119.622676,Adventist Health,adventist_health,0.85
