health_system_id,health_system,n_facilities,monthly_fee_sum,median_target_fee,median_stretch_fee,median_reference_fee,total_term_savings
hca,HCA,130,16722851.68,1265.0,1209.81,778.46,2953806641.16
health_first,Health First,4,94503.96999999999,1582.295,1265.8400000000001,975.745,2048101.1700000002
healthcare_authority_for_baptist_health,Healthcare Authority for Baptist Health,1,554140.15,1591.1,1414.31,979.14,8528603.32
healthpartners,HealthPartners,7,742472.6799999999,1426.11,1397.77,877.61,44406944.0
hendrick_health_system,Hendrick Health System,2,93600.66,1454.01,1247.255,958.3899999999999,5746972.9399999995
hendricks_regional_health,Hendricks Regional Health,1,26476.64,1147.16,1147.16,750.0,3044002.42
hennepin_healthcare,Hennepin Healthcare,1,349772.42,1426.11,1140.89,877.61,-3904228.11
henry_community_health,Henry Community Health,1,16664.93,1126.27,1126.27,750.0,2035349.94
henry_ford_health,Henry Ford Health,5,317506.01,1218.76,1218.76,750.01,19305701.58
heritage_valley_health_system,Heritage Valley Health System,1,1385.43,1523.31,1370.98,1054.6,-5192.13
heywood_healthcare,Heywood Healthcare,2,100507.64000000001,1662.405,1565.87,1023.02,8515763.01
hoag_memorial_hospital_presbyterian,Hoag Memorial Hospital Presbyterian,2,2641032.52,1772.86,1883.665,1227.37,328919128.58
holland_hospital,Holland Hospital,1,771.17,1736.4,1736.4,1068.55,103191.19
holy_name_medical_center,Holy Name Medical Center,1,75640.9,1673.74,1673.74,1030.0,3769952.21
holy_redeemer_health_system,Holy Redeemer Health System,1,40402.33,1411.2,1254.4,868.43,1641497.08
holzer_health_system,Holzer Health System,2,90861.78,1173.86,1110.145,750.0,6494691.83
honorhealth,HonorHealth,6,75148.37,1460.42,1314.38,898.72,4493115.09
hospital_sisters_health_system,Hospital Sisters Health System,12,741604.1,1305.28,1253.475,803.25,45972242.82
houston_healthcare,Houston Healthcare,1,66741.23,1400.16,1400.16,861.63,5763467.61
houston_methodist,Houston Methodist,6,110797.10999999999,1397.77,1397.77,860.17,7196465.65
hshs,HSHS,1,24278.23,1305.28,1305.28,803.25,2587958.8
hunterdon_healthcare_system,Hunterdon Healthcare System,1,47465.91,1673.74,1487.77,1030.0,2260592.26
huntsville_hospital_health_system,Huntsville Hospital Health System,3,387807.76999999996,1097.93,1097.93,750.0,46810863.839999996
independent,Independent / Unknown,1942,206449008.54,1273.95,1235.17,783.97,22364740114.28
indiana_regional_medical_center,Indiana Regional Medical Center,1,39640.69,1513.83,1513.83,931.59,3967258.77
indiana_university_health,Indiana University Health,12,916792.76,1147.16,1147.16,750.0,157573333.39000002
infirmary_health_system,Infirmary Health System,4,37228.15,1214.135,1097.93,784.335,4232801.989999999
inova_health_system,Inova Health System,5,563319.9400000001,1497.72,1331.3,921.67,27288064.57
inspira_health_network,Inspira Health Network,1,90342.62,1411.2,1411.2,868.43,4646029.38
integris_health,Integris Health,7,246162.21,1492.05,1234.17,1034.04,8508772.8
intermountain_health,Intermountain Health,25,630835.13,1464.0,1235.17,900.93,56307525.75
iredell_health_system,Iredell Health System,1,54029.6,1191.91,1191.91,750.0,5323940.74
island_hospital,Island Hospital,1,57446.86,2000.0,2000.0,1300.62,8376276.49
jackson_health_system,Jackson Health System,1,190679.65,1202.35,1202.35,750.0,14293300.98
jefferson_health,Jefferson Health,7,260937.50999999998,1411.2,1411.2,868.43,22324679.84
jefferson_healthcare,Jefferson Healthcare,1,247820.55,1546.94,1546.94,951.97,49706709.58
john_muir_health,John Muir Health,1,137203.17,1884.38,1449.52,1449.52,-1046621.23
johns_hopkins,Johns Hopkins,1,920180.92,1209.81,1209.81,750.0,91054238.7
johns_hopkins_health_system,Johns Hopkins Health System,3,103739.82,1497.72,1280.92,921.67,3564437.76
jps_health_network,JPS Health Network,1,215709.64,1348.54,1348.54,829.87,24425682.45
jupiter_medical_center,Jupiter Medical Center,1,96221.79,1202.35,1202.35,750.0,6484673.81
kaiser_permanente,Kaiser Permanente,37,20662127.26,1852.75,1967.62,1227.37,860935835.82
kaleida_health,Kaleida Health,2,104714.63,1408.6599999999999,1408.6599999999999,866.87,9374238.89
katherine_shaw_bethea_hospital,Katherine Shaw Bethea Hospital,1,24666.22,1628.75,1357.29,1252.89,-154831.92
kaweah_delta_health_care_district,Kaweah Delta Health Care District,1,114042.2,1666.28,1666.28,1025.41,9306413.7
kettering_health,Kettering Health,7,307100.49,1732.22,1719.69,1074.24,19092238.41
knox_community_hospital,Knox Community Hospital,1,31390.4,1565.21,1280.63,1083.61,950335.76
kootenai_health,Kootenai Health,1,48912.69,1235.17,1235.17,760.1,5213239.57
lake_region_healthcare,Lake Region Healthcare,2,59653.41,1522.9299999999998,1522.9299999999998,937.19,4576698.67
lakeland_regional_health,Lakeland Regional Health,1,28398.03,1577.67,1262.14,970.88,1090175.56
larkin_health_system,Larkin Health System,2,482743.73,1202.35,1202.35,750.0,60690602.93
lawrence_general_hospital,Lawrence General Hospital,1,220115.46,1699.1,1699.1,1045.6,9360217.69
lcmc_health_system,LCMC Health System,2,99712.63,1103.15,908.6800000000001,813.8050000000001,5356953.26
lecom_health,Lecom Health,2,184400.86000000002,1279.775,1279.775,787.55,13249852.120000001
lee_health,Lee Health,3,440584.51,1746.24,1746.24,1074.61,35316459.87
legacy_health,Legacy Health,5,345507.03,1559.38,1403.44,1079.57,21634825.34
lehigh_valley_health_network,Lehigh Valley Health Network,4,183378.55000000002,1532.855,1272.8200000000002,1045.875,311376.73
lexington_medical_center,Lexington Medical Center,1,21395.59,1715.63,1559.67,1319.72,1023116.78
licking_memorial_health_systems,Licking Memorial Health Systems,1,500781.07,1179.97,1179.97,750.0,56401596.3
lifebridge_health,LifeBridge Health,3,358877.4,1441.03,1441.03,886.79,19037583.72
lifepoint_health,Lifepoint Health,48,2128637.66,1544.645,1222.915,1022.38,142844922.73000002
lifespan,Lifespan,3,235746.94,1418.65,1418.65,873.02,47651822.699999996
lmh_health,LMH Health,1,47421.28,1604.17,1233.98,1233.98,1556885.33
logan_health,Logan Health,5,239838.47,1187.43,1187.43,750.0,19396586.92
loma_linda_university_health,Loma Linda University Health,3,208042.32,1482.2,1235.17,1140.16,79920.41999999998
lsu_healthcare_services_division,LSU Healthcare Services Division,1,123502.58,1169.53,1169.53,750.0,17551500.6
luminis_health,Luminis Health,2,192558.44,1469.375,1469.375,904.23,10816197.36
main_line_health,Main Line Health,4,45801.53,1411.2,1218.76,868.43,2430217.37
mainegeneral_health,MaineGeneral Health,1,35356.14,1673.68,1673.68,1158.7,2005068.64
mainehealth,MaineHealth,8,1347547.45,1535.22,1341.5300000000002,1078.4650000000001,76128859.8
major_health_partners,Major Health Partners,1,2359.6,1147.16,1147.16,750.0,247562.23
margaret_mary_health,Margaret Mary Health,1,150582.47,1126.27,1126.27,750.0,16043514.67
marshfield_clinic_health_system,Marshfield Clinic Health System,8,237060.44,1628.065,1340.58,1127.12,13510866.43
mary_lanning_healthcare,Mary Lanning Healthcare,1,274514.37,1147.16,1147.16,750.0,25109983.99
mary_washington_healthcare,Mary Washington Healthcare,2,217553.69,1497.72,1497.72,921.67,17423927.57
mass_general_brigham,Mass General Brigham,9,1433531.5,1699.1,1510.31,1045.6,63504662.36
maury_regional_medical_center,Maury Regional Medical Center,2,67558.34,1083.755,1083.755,750.0,7165117.84
mayo_clinic,Mayo Clinic,17,879442.68,1397.77,1244.12,860.17,71715396.77
mclaren_health_care_corporation,McLaren Health Care Corporation,9,206930.59999999998,1218.76,1218.76,750.01,26222653.97
mcleod_health,McLeod Health,5,210865.83,1480.53,1233.78,1021.18,19052069.58
meadville_medical_center,Meadville Medical Center,2,538133.9,1267.99,1267.99,780.3,60362489.3
medical_university_of_south_carolina_medical_center,Medical University of South Carolina Medical Center,2,7935.93,1335.865,1335.865,830.3299999999999,423573.64
medisys_health_network,Medisys Health Network,2,194751.50999999998,1673.74,1673.74,1030.0,21391881.97
medstar_health,MedStar Health,9,1315912.11,1497.72,1441.03,921.67,55180755.2
memorial_health_system_il,Memorial Health System IL,5,636752.73,1305.28,1305.28,803.25,61114075.0
memorial_health_system_oh,Memorial Health System OH,3,230378.32,1200.86,1200.86,750.0,18196270.63
memorial_healthcare,Memorial Healthcare,1,8742.83,1554.76,1413.42,1195.97,-85401.83
memorial_healthcare_system,Memorial Healthcare System,2,272613.89,1202.35,1015.3199999999999,750.0,4745451.73
memorial_hermann,Memorial Hermann,2,34581.64,1397.77,1257.995,860.17,1695654.46
memorial_hermann_healthcare_system,Memorial Hermann Healthcare System,6,117552.62000000001,1397.77,1397.77,860.17,5103341.01
memorial_hospital_at_gulfport,Memorial Hospital at Gulfport,1,26520.79,1688.66,1688.66,1039.18,2348206.22
mercy_health,Mercy,34,1750546.85,1176.99,1161.325,750.0,118729685.5
mercyhealth,Mercyhealth,4,200002.22999999998,1542.17,1374.5900000000001,949.03,17535859.28
meritus_health,Meritus Health,1,143490.04,1563.09,1172.32,1082.14,2368131.34
methodist_health_system_ne,Methodist Health System NE,3,191825.78,1667.31,1500.58,1141.26,6602482.34
methodist_health_system_tx,Methodist Health System TX,6,255719.05,1348.54,1348.54,829.87,13404142.36
methodist_le_bonheur_healthcare,Methodist Le Bonheur Healthcare,2,215957.1,1062.13,1062.13,750.0,29531999.14
midland_county_hospital_district,Midland County Hospital District,1,130422.76,1546.35,1546.35,951.6,9879910.62
missouri_delta_medical_center,Missouri Delta Medical Center,1,25660.08,1449.09,1449.09,891.75,3057723.81
mlk_community_healthcare,MLK Community Healthcare,1,255174.72,1772.86,1329.65,1227.37,-907756.93
mohawk_valley_health_system,Mohawk Valley Health System,1,149218.04,1682.96,1514.66,1165.13,3652139.21
montage_health,Montage Health,1,113486.63,1697.01,1414.18,1305.4,-623013.8
montefiore_medical_center,Montefiore Medical Center,5,388062.34,1673.74,1338.99,1030.0,16279379.799999999
monument_health,Monument Health,7,225716.40000000002,1035.27,1035.27,750.0,24102745.18
mosaic_life_care,Mosaic Life Care,2,101849.53,1136.71,1136.71,750.0,9055262.36
mount_sinai_health_system,Mount Sinai Health System,5,1086311.11,1673.74,1487.77,1030.0,39933468.0
mount_sinai_medical_center_of_florida,Mount Sinai Medical Center of Florida,1,100719.2,1202.35,1202.35,750.0,10554459.22
mountain_view_hospital,Mountain View Hospital,1,117349.77,1318.71,1318.71,811.51,6445814.45
multicare_health_system,Multicare Health System,5,847712.49,1630.98,1546.94,1129.14,15045456.78
munson_healthcare,Munson Healthcare,8,1539442.43,1211.3,1211.3,750.0,178884546.89
national_jewish_health,National Jewish Health,1,529158.93,1378.38,1378.38,848.23,93043935.78
natividad_medical_center,Natividad Medical Center,1,46827.43,1697.01,1697.01,1305.4,2215183.81
nch_healthcare_system,NCH Healthcare System,1,69811.63,1505.12,1157.78,1157.78,1938334.04
new_liberty_hospital_district_of_clay_county,New Liberty Hospital District of Clay County,1,23315.68,1142.68,1142.68,750.0,3328112.67
new_york_city_health_and_hospitals_corporation,New York City Health and Hospitals Corporation,6,2590289.56,1673.74,1413.38,1030.0,49014935.84
new_york_presbyterian_healthcare_system,New York Presbyterian Healthcare System,3,957206.13,1673.74,1673.74,1030.0,85963488.35
niagara_falls_memorial_medical_center,Niagara Falls Memorial Medical Center,1,331439.1,1576.78,1576.78,970.33,39894380.56
norman_regional_health_system,Norman Regional Health System,1,33205.94,1685.8,1296.77,1296.77,58526.63
north_country_healthcare,North Country Healthcare,2,148799.22999999998,1332.13,1332.13,819.77,15858613.530000001
north_kansas_city_hospital,North Kansas City Hospital,1,68833.18,1142.68,1142.68,750.0,6052189.01
north_memorial_health,North Memorial Health,2,134365.64,1426.11,1426.11,877.61,10442245.54
north_mississippi_health_services,North Mississippi Health Services,5,174586.49,1097.93,1097.93,750.0,10489039.07
north_oaks_health_system,North Oaks Health System,1,85987.62,1553.81,1165.36,1075.71,1667840.23
northeast_georgia_health_system,Northeast Georgia Health System,3,366477.44,1278.43,1278.43,786.73,10059801.73
northeastern_health_system,Northeastern Health System,1,24474.54,1535.91,1228.72,945.17,671444.48
